clean_review,sentiment
satisfied charging really fast value money product review good quality good product good product seems good looks durable charging fine toono complains charging really fast good product till satisfied quality good product charging speed slower original iphone cable good quality would recommend worked well till date issue cable also sturdy enough asked replacement company value money,Positive
good braided cable type c device good quality product ambrane super cable good quality good product good good quality price one issue unit ordered cable connect phone android auto car cable really strong connection ports really well made already micro usb cable ambrane still good shape connected phone car using cable got connected well issues also connected charging port yes fast charging support quality good price main thing ever thought cable long good one charging power good also supports fast charging value money extra length good working fine product quality good good good bought daughter old phone brand new cable charging already repacked requested replacement checked green colour paste fungus inside micro usb connector cleaned alcoholic starts working checked ampere charging speed got around bad came braided long cable pretty impressive price blame manufacturer quality issues distributor might stored humid place,Positive
good speed earlier versions good product working good good price good worth money working nice really nice product quite durable sturdy good nice product working well really nice product,Neutral
good product good one nice really nice product first time change good fine product could better nice charging like jet good product long wire charges good nice bought cable rs worthy product price tested various charger adapters w w supports fast charging well good ok got good price sale amazon product useful warranty warranty need go far practical cost mine micro type c connector stopped working days like product,Positive
good original decent good one secondary use best quality good amazing product mind blowing price nice quality good product bought instead original apple work rs fast apple charger good option want cheap good product bought ipad pro working flawlessly build quality ok like gonna hang clothes want strong cable even braided cable stop working year used anker apple store strong braided cable stop working year please buy high end cables instead choose one even stops working withing year loose rs compares rs update pin stopped charging one side slip pin charge side update let know long work good sure durability pin area feels bit fragile support apple carplayso little disappointed thatother cable made good quality best buy fathful writing review post months orders product honestly portronics konnect l lightning cable works like magic original apple charging brick seeing price cable initially hesitated buying low offers sure would work well iphone whether would impact iphone battery health lightning cable brands costing like wayona amazon basics etc earlier using wayona brand lightning cable eventually frayed stopped working charging speed charges iphone fast enough almost similar compared original cable level used w original apple power adapter quality durability great quality braided cable tangle easily withstand day day usage l shaped pin innovative portronics makes sure cable get damaged even used charging carplay data sync works smoothly carplay syncs data effortlessly ps used cable original apple charging brick extremely satisfied performance better expect product like quality plan buy type cable come usb c lighting cable emergency purpose much love cable buy cable emergency uses since good one good product value money,Positive
pretty good average quality good useful usb cable good usb cable experience good long lasting good nice product useful sturdy support w charging good product like good item strong useful usb cablevalue moneythanks amazon producer product useful product sturdy support w charging,Neutral
long durable good charge lenovo tab best charging cable good boat product good build quality good comes year warranty good product bought charging mobile tab work lenovo tab guys cable best compare everyone heat protection quickly charging chance shock circuit good nice good quality watt,Positive
worth money suitable android auto good product length nice original good quay cable support fast charging original mi cable charging upto watt veri happy product provide turbo charging worth money suitable android auto purpose served car got rs everything okay packaging good feeling like seller gave used cable good product good product cost original cable bought cable using cable android auto car perfectly works without glitch original mi cable charge upto watts got rs watt charger want cable car went checked performance battery charging app charging speed exactly half watt original cable go provided turbo charging recommend redmi note mobile phones provide turbo charging veri happy product,Positive
works linux get model antenna say brands available lesser price easy handle great product perfect working speed perfect great design build connectivity range packaging features linux support since v good use connect old pc internet tried lubuntu ubuntu worked box setup extender cable place comfortable place get model antenna otherwise range problems directly line sight wifi router wifi dongle simple plug play device start catching available networks right plug usb port additional installations softwares requires signal strength good wonder would different adapters lesser known brands available much competitive pricing hence star less pros easy use portable connected mobile hotspot used pc budget friendly less installation process heating issues good coverage best alternative usb tethering phone battery may get damaged long term run tethering cons internet connection speed varies times also depends modem cellular connection issues occur installing via cd available along product installation driver downloaded tp link site needed reconnect adapter every time system turned work software issues encountered update system worked support center worse calls unattended times visit nearby storeconclusion brought ideal users need high speed internet usage good alternative usb tethering budge p youtube videos easily played without interruptions wifi connectivity great good result however jitter problems exist perfect device connect wifi go wifi adopter good working pictures attached size design build quality packaging software speed connectivity experience warranty size design best part compact size sober elegant design big plus easy plug use add good sober design build quality build quality undoubtedly superb qualms held doesnt give cheap flimsy product like feeling good sturdy build quality packaging part also big plus item well cushioned packaged necessary items ensured damage could caused product transportation ensures customer received something damaged internally already software actually good great part product good part cd provided along manual great part linux support given version onwards bad really speed easily supports net speeds upto mbps practically speaking tested home easily supports net speed mbps without sigh testing found connect ghz network without issue connectivity please mark feet metres multiply metres x get distance feet easily connects laptop phone metres across one room thats feet mean even old bluetooth used connect ft feet issue big plus found product experience point view far except linux non compatibility issue found flaws product overall great product warranty years assured atleast years tension free year contrary electronic items today provide year warranty items best adapter bought ever works nicely seemless connectivity,Positive
good fast charge data transfer good cable compares local brand good doesnt last good product good product good worth good material quality charging speed watt fast charger cable efficient fast charging quick data transfer overall fine like usb c l shape nylon shielded core wire improves life cable think buy every months fast charging stops working probbly something cable design cable gets twisted time suspect breaks high capacity wires inside keep buying arent many options l shaped design good durable product sometime charges work adapters might cut something works fine apple adapter car charger usb product really good affordable price good fast charging value money wat fast charger slow charging w l shape pin useful,Positive
quite good value money works well hdmi cable value money good gets job done delivery good one need purchase using days experience pretty good picture quality also bad expect something world price point go tight budget initial impressions works said glad go cheaper options costly plug play update screws hdmi cable good watch movie sports gives better quality connecting laptop tv play loved works expected length cable short mentioned also satisfied requirement need length better look options good best hdmi cable price range problems yet go expecting delivered time delivered time product good tried cables wires amazon basica brand good one,Positive
works nice product fast charging original good data transfer average cost effective good quality great product nice definitely good original cord works fast charging pretty sturdy worth faulty cable lazy lot money instead calling apple bought like bucks expected much surprise cable actually works fast charging go felt quite sturdy connectors look premium easy insert used cable switch data iphone cable worked like charm using smart switch app data including whatsapp data transferred successfully satisfied performance good quality goodworking smoothly using portronics pd charger real fast charging cable serving purpose good,Positive
great worked well six months compatible apple ipad nd generation charging well cable product good phone gets disconnected multiple occasions fast charging cable good item value amazing product value money loosing charging cable apple costly affair wire great purchase made correct worked well six months stopped working planning buy one price come good product compatible ipad nd generation charging well quality product good also works fine totally worth price product super using last month till good functioning noticed phone gets disconnected multiple occasions might cable may damaged overall worked well month takes hours charge full good item value best product used till,Positive
good product using product months done faced problem far build quality best really liked one strong support fast charging nice cable best data cable charging fast good job good need improvement like best charging power used cable note pro mi using month also fast working might little expensive physically good feels premium power limitation suitable fast charging data cable charging fast good quality good durability overall good need improvement,Positive
best tv getting k good price os lags garbage quality good product good quality great experience everything fantastic super picture quality sound quality awesome pros xiomi best budget nice picture quality nice audio output full featurecons sometimes tv lags sometimes stucksin prize range tv cons like overall nice tv product price range good running android lags hope updates lags problem resolved useless product useless quality display issues within months service center upto mark go better brands quality assured would wish option negative stars uses connectes tv picture good hopping best level song globaly good product ever good quality good,Positive
good charging data transfer good quality less power delivery fantastic good useful fit properly support oppo mobile fast charging check offera buying w charging cable awesome cable charging data transfer durability simply awesome single disconnection issue always faced original mi cable box bought time last cable damaged phone fell usb cable port phone heavy never faced issues bought one time went replacement waste time energy also boat earphones also awesome good charging slow forget fast charging useful cable fit properly samsung galaxy type c port little hit happens cable plug otherwise length cable quality nice boat type c cable support fast charging oppo f earlier using vooc cable worked excellent,Positive
sound quality nice value money good good price good item budget friendly good lg always good correct delivery good service sound quality poor speakers fitted tv clear sound problem good videogood vice picture quality awesome good price okay product os lags year use best get price tag comes like best one comes bugdet easy installation handy features good,Positive
good cable car good substitute orginal better value money product way better original absolutely amazing namm hi kafi hai good names say durable cell durable cable trust product works well car play good quality charging fine good original build quality awesome best lightening cable ever seen better official lightening ur looking cable close eyes go buy amazon basics one using past years bit cheaper side recommend cables better build quality value money gr product overall loved good charging speed good quality well packed sealed coveredthe wire looks good qualityrecommended,Positive
good product average finishing save purpose well without issue satisfied issues need put aux cable connecting audio secondary monitor good product bad good worked months connector provided boon old samsung lcd monitor proactively using monitor nd screen finishing product improved would better purchase option save purpose well without issue satisfied working fine go works properly good product poor quality buy product many reviews product much clear get job done buy get display much clear still price good compare products good worked really well months started showing cheap chinese side display keeps disconnecting randomly come back headache read work external monitor since keeps disconnecting external monitor reconnects,Neutral
good sound low another brand comparing better service provider meet home refuse tv using bad service good product ok super floor stand come good budget friendly tv clumsy ui remote overall good tv picture ok smart bettersound low another brand service provider refuse install tv bad service samsung calling times service provider meet home address bad bad product come support stand wall hanging hook install tv picture quality poor cables floor stand come buy seperately request amazon cleary mention add pay seperate charges installation guy buy floor mount good,Positive
worked iphone work xr good one dull physical looks buy go product get charging cable price working well worked iphone work iphone xr like still use work product quite good fast charging loved like looks last long sturdiness depend manner use speed charging great good product average income group great charging devices various types ports works best charging one device time good item,Positive
wonderful tv awful installation service amazon acer television review good product price good price almost complete package nice product good product super designed tv wonderful probably best tv price range inr good google interface loaded features lightweight watt power consumption stable designaverage sound picture quality quite good compare premium brands obviously good features streaming apps available compatible connect wifi lan cable hdmi set top box laptop usb gaming console old dish cable direct tv antenna well built chromecast cast compatible app directly phone tv wifi networkways connect phone via cast feature mobile apps password needed need wifi network via chromecast app project selected media pics videos entire phone screenways connect pc laptop windows cast option project entire laptop screen tv using windows cast option need connected wifi network via hdmi cableabout amazon installation service awful technician brought cheap hanging hook mrp inr asked inr without receipt kept telling sale company sent specially however clearly mrp mentioned went market bought much better cabinet inr installation well technician really adamant drill two required holes top drilled one top one bottom kept spare screws bought half hour arguments finally drilled required holes kept cussing wasted time assistance person represented service agency well whole process took two hours complete lots arguments worst installation experience life far bottomline please avail called free installation service amazon scam instead call acer support job much better using months pros cons pros great picture quality awesome blacks good adjustable sound db good looks great thin besel remote comes favorite ott buttons content upscaling good cons remote could better use dth remote turn televisison set top box remote operation bit complex motion technology great noticeable blur watching moving ballson ott decreases switch dth overall nice buy price point think getting fairly better picture quality sound satisfied product product good picture quality good product price w sound applications running smoothly months older issues yet running smoothly get decent features price pay screen resolution might set back may find pixalation overall good amazed picture quality p hd ready tv truly amazing panel found suitable viewing distance feet nearer may look crisp farther feel like small size speakers also good price get loud without distortions however since speaker downward firing experience vary based whether tv wall mounted kept stand remote good voice search works well tv start takes long time opinion compared inch tv hence know stands among peers ghz wifi works well even across walls negative aspect faced w r experience using bluetooth headphones earphones firstly connection sometimes happen automatically restart means remove discover device thru menu simple secondly signal seems weak even distance feet front tv signal breaks even move head inches however still super happy tv got k launch offer totally worth recommended side price range good quality product market acer work sound quality improvement otherwise ok picture quality really impressive wifi connectivity good easy install boderless screen design premium also google voice support good sometimes lagging major issues found tv go vellu money good product nice productsave money,Positive
cheap product performance job good box good value money good quality cable rubust built work value money good product signal unstable connect need bit adjustment unplugging moving wire get proper signal job go want experiment hdmi sure would work otherwise go good quality breaded cable good product cable come box box shipped without packaging branding mentioned pay hi quality products expect certain quality still idea hi speed k cable good bought connect cp monitor cctv mi android tv ok quality price give reasons amazon delivery super fast day delivery within hours delivery person good robust built quality looks feels premium working excellent using lapptop big screen tv connectivity could see undistorted picture sound nicely work words cons feels little hard adjust bend per requirement less flexible may serious concern overall nice experience far good job like,Positive
